Model,TBS2102
Firmware Version,v1.23

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0002
Sample Interval,1.6e-06
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-1.970e-03,0.4
-1.968e-03,0.45
-1.966e-03,0.4
-1.965e-03,0.45
-1.963e-03,0.5
-1.962e-03,0.5
-1.960e-03,0.5
-1.958e-03,0.55
-1.957e-03,0.55
-1.955e-03,0.6
-1.954e-03,0.6
-1.952e-03,0.65
-1.950e-03,0.65
-1.949e-03,0.65
-1.947e-03,0.7
-1.946e-03,0.7
-1.944e-03,0.7
-1.942e-03,0.75
-1.941e-03,0.75
-1.939e-03,0.8
-1.938e-03,0.8
-1.936e-03,0.8
-1.934e-03,0.8
-1.933e-03,0.9
-1.931e-03,0.85
-1.930e-03,0.9
-1.928e-03,0.9
-1.926e-03,0.95
-1.925e-03,0.95
-1.923e-03,0.95
-1.922e-03,1
-1.920e-03,1
-1.918e-03,1.05
-1.917e-03,1.05
-1.915e-03,1.05
-1.914e-03,1.1
-1.912e-03,1.1
-1.910e-03,1.15
-1.909e-03,1.1
-1.907e-03,1.15
-1.906e-03,1.15
-1.904e-03,1.2
-1.902e-03,1.2
-1.901e-03,1.2
-1.899e-03,1.2
-1.898e-03,1.25
-1.896e-03,1.25
-1.894e-03,1.25
-1.893e-03,1.3
-1.891e-03,1.3
-1.890e-03,1.25
-1.888e-03,1.3
-1.886e-03,1.35
-1.885e-03,1.4
-1.883e-03,1.4
-1.882e-03,1.35
-1.880e-03,1.45
-1.878e-03,1.4
-1.877e-03,1.4
-1.875e-03,1.45
-1.874e-03,1.5
-1.872e-03,1.5
-1.870e-03,1.5
-1.869e-03,1.5
-1.867e-03,1.5
-1.866e-03,1.5
-1.864e-03,1.55
-1.862e-03,1.55
-1.861e-03,1.55
-1.859e-03,1.6
-1.858e-03,1.6
-1.856e-03,1.65
-1.854e-03,1.65
-1.853e-03,1.65
-1.851e-03,1.65
-1.850e-03,1.7
-1.848e-03,1.65
-1.846e-03,1.7
-1.845e-03,1.7
-1.843e-03,1.7
-1.842e-03,1.7
-1.840e-03,1.7
-1.838e-03,1.7
-1.837e-03,1.75
-1.835e-03,1.75
-1.834e-03,1.8
-1.832e-03,1.75
-1.830e-03,1.8
-1.829e-03,1.8
-1.827e-03,1.85
-1.826e-03,1.85
-1.824e-03,1.85
-1.822e-03,1.85
-1.821e-03,1.85
-1.819e-03,1.85
-1.818e-03,1.85
-1.816e-03,1.9
-1.814e-03,1.9
-1.813e-03,1.9
-1.811e-03,1.9
-1.810e-03,1.9
-1.808e-03,1.9
-1.806e-03,1.9
-1.805e-03,1.9
-1.803e-03,1.9
-1.802e-03,1.95
-1.800e-03,1.95
-1.798e-03,1.95
-1.797e-03,1.95
-1.795e-03,1.95
-1.794e-03,2
-1.792e-03,1.95
-1.790e-03,2
-1.789e-03,2
-1.787e-03,2
-1.786e-03,2
-1.784e-03,2
-1.782e-03,2
-1.781e-03,2
-1.779e-03,2
-1.778e-03,2.05
-1.776e-03,2.05
-1.774e-03,2
-1.773e-03,2
-1.771e-03,2.05
-1.770e-03,2
-1.768e-03,2
-1.766e-03,2.1
-1.765e-03,2.05
-1.763e-03,2.05
-1.762e-03,2.05
-1.760e-03,2
-1.758e-03,2.05
-1.757e-03,2.05
-1.755e-03,2.05
-1.754e-03,2.05
-1.752e-03,2.05
-1.750e-03,2.05
-1.749e-03,2.05
-1.747e-03,2.05
-1.746e-03,2.05
-1.744e-03,2
-1.742e-03,2.05
-1.741e-03,2.05
-1.739e-03,2
-1.738e-03,2.05
-1.736e-03,2.05
-1.734e-03,2
-1.733e-03,2
-1.731e-03,2
-1.730e-03,2
-1.728e-03,2
-1.726e-03,2
-1.725e-03,2
-1.723e-03,1.95
-1.722e-03,1.95
-1.720e-03,2
-1.718e-03,2
-1.717e-03,2
-1.715e-03,1.95
-1.714e-03,2
-1.712e-03,2
-1.710e-03,1.95
-1.709e-03,1.95
-1.707e-03,2
-1.706e-03,1.95
-1.704e-03,1.95
-1.702e-03,1.95
-1.701e-03,1.95
-1.699e-03,1.9
-1.698e-03,1.9
-1.696e-03,1.95
-1.694e-03,1.95
-1.693e-03,1.9
-1.691e-03,1.9
-1.690e-03,1.9
-1.688e-03,1.9
-1.686e-03,1.9
-1.685e-03,1.9
-1.683e-03,1.85
-1.682e-03,1.8
-1.680e-03,1.8
-1.678e-03,1.8
-1.677e-03,1.85
-1.675e-03,1.8
-1.674e-03,1.85
-1.672e-03,1.8
-1.670e-03,1.75
-1.669e-03,1.8
-1.667e-03,1.75
-1.666e-03,1.75
-1.664e-03,1.75
-1.662e-03,1.7
-1.661e-03,1.7
-1.659e-03,1.75
-1.658e-03,1.75
-1.656e-03,1.7
-1.654e-03,1.65
-1.653e-03,1.65
-1.651e-03,1.65
-1.650e-03,1.6
-1.648e-03,1.65
-1.646e-03,1.65
-1.645e-03,1.6
-1.643e-03,1.6
-1.642e-03,1.55
-1.640e-03,1.55
-1.638e-03,1.55
-1.637e-03,1.55
-1.635e-03,1.5
-1.634e-03,1.5
-1.632e-03,1.5
-1.630e-03,1.5
-1.629e-03,1.45
-1.627e-03,1.45
-1.626e-03,1.5
-1.624e-03,1.45
-1.622e-03,1.4
-1.621e-03,1.35
-1.619e-03,1.4
-1.618e-03,1.4
-1.616e-03,1.35
-1.614e-03,1.35
-1.613e-03,1.35
-1.611e-03,1.3
-1.610e-03,1.3
-1.608e-03,1.25
-1.606e-03,1.25
-1.605e-03,1.25
-1.603e-03,1.25
-1.602e-03,1.25
-1.600e-03,1.2
-1.598e-03,1.15
-1.597e-03,1.15
-1.595e-03,1.15
-1.594e-03,1.15
-1.592e-03,1.1
-1.590e-03,1.1
